run_id	parse_elapsed_s	parse_user_s	parse_system_s	parse_max_rss_kib	parse_exit_status	eva_elapsed_s	eva_user_s	eva_system_s	eva_max_rss_kib	eva_exit_status	total_elapsed_s	validation_status
1	0.79	0.64	0.12	135320	0	0.61	0.55	0.06	132484	0	1.40	VALID
2	0.70	0.59	0.10	135088	0	0.64	0.55	0.07	132472	0	1.34	VALID
3	0.76	0.62	0.11	135456	0	0.68	0.57	0.09	132720	0	1.44	VALID
