run_id	parse_elapsed_s	parse_user_s	parse_system_s	parse_max_rss_kib	parse_exit_status	eva_elapsed_s	eva_user_s	eva_system_s	eva_max_rss_kib	eva_exit_status	total_elapsed_s	validation_status
1	0.59	0.48	0.09	135292	0	1.10	0.98	0.10	160360	0	1.69	VALID
2	0.64	0.51	0.11	135124	0	1.12	1.02	0.09	160528	0	1.76	VALID
3	0.63	0.52	0.09	135220	0	1.18	1.04	0.10	160396	0	1.81	VALID
