run_id	parse_elapsed_s	parse_user_s	parse_system_s	parse_max_rss_kib	parse_exit_status	eva_elapsed_s	eva_user_s	eva_system_s	eva_max_rss_kib	eva_exit_status	total_elapsed_s	validation_status
1	0.62	0.51	0.10	135172	0	3.28	3.08	0.11	157344	0	3.90	VALID
2	0.64	0.52	0.10	135236	0	3.24	3.03	0.12	157116	0	3.88	VALID
3	0.69	0.55	0.12	135040	0	3.20	3.06	0.09	157404	0	3.89	VALID
