run_id	parse_elapsed_s	parse_user_s	parse_system_s	parse_max_rss_kib	parse_exit_status	eva_elapsed_s	eva_user_s	eva_system_s	eva_max_rss_kib	eva_exit_status	total_elapsed_s	validation_status
1	0.77	0.63	0.11	116508	0	0.85	0.70	0.09	110680	0	1.62	VALID
2	0.70	0.57	0.10	116636	0	0.60	0.51	0.07	110856	0	1.30	VALID
3	0.98	0.81	0.15	116840	0	1.01	0.86	0.13	110652	0	1.99	VALID
