run_id	parse_elapsed_s	parse_user_s	parse_system_s	parse_max_rss_kib	parse_exit_status	eva_elapsed_s	eva_user_s	eva_system_s	eva_max_rss_kib	eva_exit_status	total_elapsed_s	validation_status
1	0.61	0.51	0.09	115864	0	2.39	2.27	0.11	152872	0	3.00	VALID
2	0.60	0.51	0.08	115832	0	2.55	2.39	0.12	152792	0	3.15	VALID
3	0.64	0.51	0.10	115768	0	2.55	2.36	0.15	153084	0	3.19	VALID
