run_id	parse_elapsed_s	parse_user_s	parse_system_s	parse_max_rss_kib	parse_exit_status	eva_elapsed_s	eva_user_s	eva_system_s	eva_max_rss_kib	eva_exit_status	total_elapsed_s	validation_status
1	0.76	0.63	0.11	140832	0	3.24	3.03	0.15	190240	0	4.00	VALID
2	0.87	0.74	0.10	140888	0	3.74	3.54	0.14	189892	0	4.61	VALID
3	0.99	0.82	0.12	140928	0	3.51	3.35	0.14	190076	0	4.50	VALID
