function	parse_run1_s	parse_run2_s	parse_run3_s	parse_median_s	parse_mean_s	eva_run1_s	eva_run2_s	eva_run3_s	eva_median_s	eva_mean_s	total_run1_s	total_run2_s	total_run3_s	total_median_s	total_mean_s	eva_max_rss_median_kib	all_runs_valid
u16_cos_u16	0.50	0.53	0.48	0.50	0.50	0.43	0.41	0.42	0.42	0.42	0.93	0.94	0.90	0.93	0.92	110424.00	true
u16_div_s32_u16	0.59	0.64	0.63	0.63	0.62	1.10	1.12	1.18	1.12	1.13	1.69	1.76	1.81	1.76	1.75	160396.00	true
u16_mmv_u16_u16_s16_fac1	0.60	0.60	0.66	0.60	0.62	0.55	0.54	0.59	0.55	0.56	1.15	1.14	1.25	1.15	1.18	127424.00	true
u16_mul_s16_u16_div_s16	0.63	0.64	0.59	0.63	0.62	1.02	1.02	0.99	1.02	1.01	1.65	1.66	1.58	1.65	1.63	136784.00	true
u16_mul_s16_u16_div_u16	0.68	0.64	0.60	0.64	0.64	0.94	1.02	0.94	0.94	0.97	1.62	1.66	1.54	1.62	1.61	135460.00	true
u16_mul_u16_u8_fac8	0.85	0.75	0.82	0.82	0.81	0.67	0.66	0.69	0.67	0.67	1.52	1.41	1.51	1.51	1.48	141256.00	true
u16_sin_u16	0.53	0.51	0.52	0.52	0.52	33.03	32.16	32.26	32.26	32.48	33.56	32.67	32.78	32.78	33.00	528076.00	true
u16_tan_u16	0.52	0.50	0.52	0.52	0.51	0.43	0.41	0.44	0.43	0.43	0.95	0.91	0.96	0.95	0.94	110416.00	true
u32_div_s32_s32	0.59	0.61	0.56	0.59	0.59	83.76	85.09	77.48	83.76	82.11	84.35	85.70	78.04	84.35	82.70	193416.00	true
u32_div_s32_u32	0.57	0.56	0.56	0.56	0.56	1.86	1.88	2.18	1.88	1.97	2.43	2.44	2.74	2.44	2.54	167604.00	true
u32_div_u32_s32	0.55	0.56	0.64	0.56	0.58	74.25	78.08	80.26	78.08	77.53	74.80	78.64	80.90	78.64	78.11	189056.00	true
u32_mmv_u32_u32_s32_fac1	0.57	0.55	0.58	0.57	0.57	0.47	0.47	0.50	0.47	0.48	1.04	1.02	1.08	1.04	1.05	126968.00	true
